"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"27","Bacteroides-thetaiotaomicron-1-1-6-MAF-2",NA,NA,NA,NA,NA,NA,613,"1_4590/8-385","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",200.3,"1_4589/1-144","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.5,"1_4587/3-517","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",868.3,"1_5257/7-711","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-mutase",229.5,"1_4586/1-134","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2",NA,NA,NA,NA,NA,NA,612.5,"1_4447/8-385","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",199.9,"1_4446/1-144","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.5,"1_4444/3-517","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",869.4,"1_4856/7-711","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-mutase",229.5,"1_4443/1-134","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Bacteroides-uniformis-ATCC-8492-MAF-2",NA,NA,NA,NA,NA,NA,610.7,"1_2145/9-385","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",198.2,"1_2146/1-144","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,938.4,"1_2148/3-517","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",880.9,"1_3757/7-711","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-mutase",235.7,"1_2149/26-170","Bacteroides-uniformis-ATCC-8492-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2",NA,NA,NA,NA,NA,NA,616.2,"1_4421/8-385","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",198.2,"1_4420/1-143","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.3,"1_4418/3-517","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",879.3,"1_4760/7-711","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-mutase",229.5,"1_4417/1-134","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Bacteroides_acidifaciens",NA,NA,NA,NA,NA,NA,616,"NZ_CAJTFZ010000039.1_6/8-385","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseBeta",197.6,"NZ_CAJTFZ010000039.1_7/1-143","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.3,"NZ_CAJTFZ010000039.1_9/3-517","Bacteroides_acidifaciens_methylmalonyl-CoA-decarboxylaseAlpha",878.5,"NZ_CAJTFZ010000002.1_105/7-711","Bacteroides_acidifaciens_methylmalonyl-CoA-mutase",228.3,"NZ_CAJTFZ010000039.1_10/1-134","Bacteroides_acidifaciens_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Bacteroides_barnesiae",NA,NA,NA,NA,NA,NA,614,"NZ_KB894647.1_64/8-385","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseBeta",190.2,"NZ_KB894647.1_65/1-142","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,935.9,"NZ_KB894647.1_67/3-517","Bacteroides_barnesiae_methylmalonyl-CoA-decarboxylaseAlpha",876.8,"NZ_KB894652.1_59/10-711","Bacteroides_barnesiae_methylmalonyl-CoA-mutase",232.3,"NZ_KB894647.1_68/1-134","Bacteroides_barnesiae_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Bacteroides_clarus",NA,NA,NA,NA,NA,NA,609.5,"NZ_JADNLF010000006.1_146/9-385","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseBeta",197.7,"NZ_JADNLF010000006.1_147/1-143","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.3,"NZ_JADNLF010000006.1_149/3-517","Bacteroides_clarus_methylmalonyl-CoA-decarboxylaseAlpha",883.1,"NZ_JADNLF010000015.1_24/7-711","Bacteroides_clarus_methylmalonyl-CoA-mutase",232.7,"NZ_JADNLF010000006.1_150/1-137","Bacteroides_clarus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Bacteroides_coprocola",NA,NA,NA,NA,NA,NA,618.3,"NZ_DS981452.1_22/8-385","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseBeta",191.5,"NZ_DS981452.1_23/1-142","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,942.4,"NZ_DS981452.1_25/3-517","Bacteroides_coprocola_methylmalonyl-CoA-decarboxylaseAlpha",879.6,"NZ_DS981509.1_17/7-711","Bacteroides_coprocola_methylmalonyl-CoA-mutase",228.7,"NZ_DS981452.1_26/1-134","Bacteroides_coprocola_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Bacteroides_faecichinchillae",NA,NA,NA,NA,NA,NA,617.2,"NZ_FQVD01000015.1_52/9-385","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseBeta",195.9,"NZ_FQVD01000015.1_53/1-145","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,935.5,"NZ_FQVD01000015.1_55/3-517","Bacteroides_faecichinchillae_methylmalonyl-CoA-decarboxylaseAlpha",874.7,"NZ_FQVD01000010.1_54/7-711","Bacteroides_faecichinchillae_methylmalonyl-CoA-mutase",227.2,"NZ_FQVD01000015.1_56/1-134","Bacteroides_faecichinchillae_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Bacteroides_faecis",NA,NA,NA,NA,NA,NA,617.3,"NZ_CP081916.1_4417/8-385","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseBeta",199,"NZ_CP081916.1_4416/1-144","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,937.4,"NZ_CP081916.1_4414/3-517","Bacteroides_faecis_methylmalonyl-CoA-decarboxylaseAlpha",872.6,"NZ_CP081916.1_5006/7-711","Bacteroides_faecis_methylmalonyl-CoA-mutase",229.9,"NZ_CP081916.1_4413/1-134","Bacteroides_faecis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Bacteroides_fluxus",NA,NA,NA,NA,NA,NA,609,"NZ_GL882602.1_12/9-385","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseBeta",194.8,"NZ_GL882602.1_13/1-146","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.6,"NZ_GL882602.1_15/3-517","Bacteroides_fluxus_methylmalonyl-CoA-decarboxylaseAlpha",879.3,"NZ_GL882657.1_20/7-711","Bacteroides_fluxus_methylmalonyl-CoA-mutase",231.1,"NZ_GL882602.1_16/1-137","Bacteroides_fluxus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Bacteroides_fragilis",NA,NA,NA,NA,NA,NA,612.7,"NZ_CP069563.1_3967/9-385","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseBeta",197.1,"NZ_CP069563.1_3968/1-143","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.6,"NZ_CP069563.1_3970/3-517","Bacteroides_fragilis_methylmalonyl-CoA-decarboxylaseAlpha",877.9,"NZ_CP069563.1_3474/7-711","Bacteroides_fragilis_methylmalonyl-CoA-mutase",227.7,"NZ_CP069563.1_3971/1-134","Bacteroides_fragilis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Bacteroides_gallinarum",NA,NA,NA,NA,NA,NA,609.8,"NZ_KB894194.1_8/9-385","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseBeta",196.2,"NZ_KB894194.1_7/1-143","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.3,"NZ_KB894194.1_5/3-517","Bacteroides_gallinarum_methylmalonyl-CoA-decarboxylaseAlpha",881.9,"NZ_KB894154.1_25/7-711","Bacteroides_gallinarum_methylmalonyl-CoA-mutase",230.3,"NZ_KB894194.1_4/1-137","Bacteroides_gallinarum_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bacteroides_graminisolvens",NA,NA,NA,NA,NA,NA,607.8,"NZ_ATZI01000024.1_22/4-385","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseBeta",195.5,"NZ_ATZI01000024.1_21/1-143","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,943.1,"NZ_ATZI01000024.1_19/3-517","Bacteroides_graminisolvens_methylmalonyl-CoA-decarboxylaseAlpha",877.2,"NZ_ATZI01000006.1_49/7-711","Bacteroides_graminisolvens_methylmalonyl-CoA-mutase",234.9,"NZ_ATZI01000024.1_18/1-134","Bacteroides_graminisolvens_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bacteroides_massiliensis",NA,NA,NA,NA,NA,NA,610.8,"NZ_JADMUT010000001.1_166/8-385","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseBeta",195.3,"NZ_JADMUT010000001.1_165/1-143","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,943.5,"NZ_JADMUT010000001.1_163/3-517","Bacteroides_massiliensis_methylmalonyl-CoA-decarboxylaseAlpha",872.7,"NZ_JADMUT010000012.1_31/10-711","Bacteroides_massiliensis_methylmalonyl-CoA-mutase",230,"NZ_JADMUT010000001.1_162/1-137","Bacteroides_massiliensis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Bacteroides_nordii",NA,NA,NA,NA,NA,NA,616.2,"NZ_CP082886.1_2478/10-385","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseBeta",191.1,"NZ_CP082886.1_2477/1-147","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,939.3,"NZ_CP082886.1_2475/3-517","Bacteroides_nordii_methylmalonyl-CoA-decarboxylaseAlpha",874.6,"NZ_CP082886.1_2717/7-711","Bacteroides_nordii_methylmalonyl-CoA-mutase",229.5,"NZ_CP082886.1_2474/1-134","Bacteroides_nordii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Bacteroides_oleiciplenus",NA,NA,NA,NA,NA,NA,613.7,"NZ_CABKRN010000001.1_1362/8-385","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseBeta",198.1,"NZ_CABKRN010000001.1_1361/1-142","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.3,"NZ_CABKRN010000001.1_1359/3-517","Bacteroides_oleiciplenus_methylmalonyl-CoA-decarboxylaseAlpha",877,"NZ_CABKRN010000003.1_354/7-711","Bacteroides_oleiciplenus_methylmalonyl-CoA-mutase",234,"NZ_CABKRN010000001.1_1358/1-136","Bacteroides_oleiciplenus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Bacteroides_pyogenes",NA,NA,NA,NA,NA,NA,610.1,"NZ_VKLY01000014.1_39/9-385","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseBeta",194.9,"NZ_VKLY01000014.1_38/1-143","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,935,"NZ_VKLY01000014.1_36/3-517","Bacteroides_pyogenes_methylmalonyl-CoA-decarboxylaseAlpha",877.8,"NZ_VKLY01000011.1_75/7-711","Bacteroides_pyogenes_methylmalonyl-CoA-mutase",227.3,"NZ_VKLY01000014.1_35/1-134","Bacteroides_pyogenes_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Bacteroides_salanitronis",NA,NA,NA,NA,NA,NA,615.7,"NC_015164.1_2965/7-385","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseBeta",189.7,"NC_015164.1_2966/1-142","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,942.8,"NC_015164.1_2968/3-517","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseAlpha",874.8,"NC_015164.1_558/10-711","Bacteroides_salanitronis_methylmalonyl-CoA-mutase",226.6,"NC_015164.1_2969/1-134","Bacteroides_salanitronis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Bacteroides_salyersiae",NA,NA,NA,NA,NA,NA,615.6,"NZ_CYXS01000014.1_39/10-385","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseBeta",189.4,"NZ_CYXS01000014.1_38/1-147","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,937.8,"NZ_CYXS01000014.1_36/3-517","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseAlpha",875.8,"NZ_CYXS01000006.1_98/7-711","Bacteroides_salyersiae_methylmalonyl-CoA-mutase",229.5,"NZ_CYXS01000014.1_35/1-134","Bacteroides_salyersiae_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Bacteroides_sartorii",NA,NA,NA,NA,NA,NA,610.2,"NZ_JABVZU010000003.1_2304/8-385","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseBeta",198.5,"NZ_JABVZU010000003.1_2303/1-143","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,940.3,"NZ_JABVZU010000003.1_2301/3-517","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseAlpha",878.7,"NZ_JABVZU010000003.1_2719/10-711","Bacteroides_sartorii_methylmalonyl-CoA-mutase",228.9,"NZ_JABVZU010000003.1_2300/1-137","Bacteroides_sartorii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Bacteroides_stercorirosoris",NA,NA,NA,NA,NA,NA,614.8,"NZ_FQZN01000030.1_16/9-385","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseBeta",198.1,"NZ_FQZN01000030.1_17/1-141","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,935.4,"NZ_FQZN01000030.1_19/3-517","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseAlpha",878.6,"NZ_FQZN01000027.1_10/7-711","Bacteroides_stercorirosoris_methylmalonyl-CoA-mutase",232.4,"NZ_FQZN01000030.1_20/1-136","Bacteroides_stercorirosoris_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Bacteroides_thetaiotaomicron",NA,NA,NA,NA,NA,NA,612.5,"NZ_CP040530.1_4428/8-385","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseBeta",199.9,"NZ_CP040530.1_4427/1-144","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.5,"NZ_CP040530.1_4425/3-517","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseAlpha",869.4,"NZ_CP040530.1_4835/7-711","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-mutase",229.5,"NZ_CP040530.1_4424/1-134","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Bacteroides_timonensis",NA,NA,NA,NA,NA,NA,611.8,"NZ_CBVI010000031.1_18/8-385","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseBeta",198.2,"NZ_CBVI010000031.1_19/1-142","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.3,"NZ_CBVI010000031.1_21/3-517","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseAlpha",878,"NZ_CBVI010000148.1_7/7-711","Bacteroides_timonensis_methylmalonyl-CoA-mutase",233.7,"NZ_CBVI010000031.1_22/1-136","Bacteroides_timonensis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Bacteroides_vulgatus",NA,NA,NA,NA,NA,NA,612.9,"NZ_AP025240.1_2480/8-385","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseBeta",196.2,"NZ_AP025240.1_2481/1-143","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.7,"NZ_AP025240.1_2483/3-517","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseAlpha",877.9,"NZ_AP025240.1_311/10-711","Bacteroides_vulgatus_methylmalonyl-CoA-mutase",229.7,"NZ_AP025240.1_2484/1-137","Bacteroides_vulgatus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Barnesiella_intestinihominis",NA,NA,NA,NA,NA,NA,605.2,"NZ_JH815203.1_391/8-384","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseBeta",176.9,"NZ_JH815203.1_392/1-143","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,938.7,"NZ_JH815203.1_394/3-517","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseAlpha",864.6,"NZ_JH815204.1_463/27-708","Barnesiella_intestinihominis_methylmalonyl-CoA-mutase",237.7,"NZ_JH815203.1_395/1-136","Barnesiella_intestinihominis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Butyricimonas-virosa-DSM-23226-MAF-2",NA,NA,NA,NA,NA,NA,597.1,"1_2677/29-420","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",158.9,"1_2678/1-141","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,910.7,"1_2680/1-519","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",854.1,"1_1039/14-717","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-mutase",221.9,"1_2681/1-132","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Butyricimonas_faecihominis",NA,NA,NA,NA,NA,NA,595.4,"NZ_JACIES010000001.1_746/29-420","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseBeta",158.7,"NZ_JACIES010000001.1_745/1-143","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,909.2,"NZ_JACIES010000001.1_743/1-519","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseAlpha",855,"NZ_JACIES010000006.1_144/14-717","Butyricimonas_faecihominis_methylmalonyl-CoA-mutase",221.4,"NZ_JACIES010000001.1_742/1-132","Butyricimonas_faecihominis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Butyricimonas_paravirosa",NA,NA,NA,NA,NA,NA,595,"NZ_BMPA01000006.1_13/29-420","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseBeta",158.8,"NZ_BMPA01000006.1_12/1-143","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,911,"NZ_BMPA01000006.1_10/1-519","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseAlpha",853.4,"NZ_BMPA01000001.1_419/14-716","Butyricimonas_paravirosa_methylmalonyl-CoA-mutase",221.4,"NZ_BMPA01000006.1_9/1-132","Butyricimonas_paravirosa_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
