description,hit_id,targ_id,target_len,hit_score,hit_evalue,hit_bias,hsp_len,hsp_score,hsp_evalue_cond,hsp_evalue_ind,hsp_bias,output_table
Bacteroides-stercoris-ATCC-43183-MAF-2_rplB,1_367/1-273,1_367,275,431.1,3.4e-130,6.3,273,431.0,1.1e-133,3.8e-130,6.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides-stercoris-ATCC-43183-MAF-2_rplB.domtblout
Bacteroides-thetaiotaomicron-1-1-6-MAF-2_rplB,1_424/1-273,1_424,275,431.5,4.1e-130,8.3,273,431.4,8.2e-134,4.6e-130,8.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides-thetaiotaomicron-1-1-6-MAF-2_rplB.domtblout
Bacteroides_thetaiotaomicron_rplB,NZ_CP040530.1_580/1-273,NZ_CP040530.1_580,275,431.5,3.6e-130,8.3,273,431.4,8.2e-134,4e-130,8.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides_thetaiotaomicron_rplB.domtblout
Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_rplB,1_583/1-273,1_583,275,431.5,3.6e-130,8.3,273,431.4,8.2e-134,4.1e-130,8.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_rplB.domtblout
Bacteroides_timonensis_rplB,NZ_CBVI010000016.1_29/1-273,NZ_CBVI010000016.1_29,275,431.9,3.4e-130,7.5,273,431.7,6.5e-134,3.8e-130,7.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides_timonensis_rplB.domtblout
Bacteroides-uniformis-ATCC-8492-MAF-2_rplB,1_1263/1-273,1_1263,275,430.9,4.3e-130,6.8,273,430.8,1.3e-133,4.8e-130,6.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides-uniformis-ATCC-8492-MAF-2_rplB.domtblout
Bacteroides_ureolyticus_rplB,NZ_KB894735.1_39/1-275,NZ_KB894735.1_39,277,440.1,3.3e-133,7.3,275,439.9,2.1e-136,3.7e-133,7.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides_ureolyticus_rplB.domtblout
Bacteroides_vulgatus_rplB,NZ_AP025240.1_905/1-273,NZ_AP025240.1_905,274,438.3,2.7e-132,5.8,273,438.1,7.2e-136,3e-132,5.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides_vulgatus_rplB.domtblout
Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_rplB,1_564/1-273,1_564,275,431.8,2.9e-130,6.9,273,431.7,6.7e-134,3.2e-130,6.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_rplB.domtblout
Barnesiella_intestinihominis_rplB,NZ_JH815206.1_30/1-273,NZ_JH815206.1_30,275,441.8,1.5e-133,5.5,273,441.7,5.9e-137,1.7e-133,5.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Barnesiella_intestinihominis_rplB.domtblout
Bavariicoccus_seileri_rplB,NZ_ATXL01000016.1_43/1-275,NZ_ATXL01000016.1_43,277,457.5,1.9e-138,11.4,275,457.4,9.7e-142,2.1e-138,11.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bavariicoccus_seileri_rplB.domtblout
Bifidobacterium-adolescentis-L2-32-MAF-2_rplB,1_329/1-274,1_329,277,428.8,9.9e-130,8.5,274,428.6,5.7e-133,1.1e-129,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium-adolescentis-L2-32-MAF-2_rplB.domtblout
Bifidobacterium_adolescentis_rplB,NZ_CP028341.1_338/1-274,NZ_CP028341.1_338,277,428.8,9.3e-130,8.5,274,428.6,5.7e-133,1e-129,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_adolescentis_rplB.domtblout
Bifidobacterium_angulatum_rplB,NZ_AP012322.1_1338/1-274,NZ_AP012322.1_1338,277,430.0,3.4e-130,9.6,274,429.9,2.4e-133,3.8e-130,9.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_angulatum_rplB.domtblout
Bifidobacterium_animalis_rplB,NC_017216.2_366/1-274,NC_017216.2_366,277,429.8,3.8e-130,8.7,274,429.7,2.7e-133,4.2e-130,8.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_animalis_rplB.domtblout
Bifidobacterium_bifidum_rplB,NZ_AKCA01000001.1_1384/1-274,NZ_AKCA01000001.1_1384,277,430.8,2.2e-130,8.4,274,430.7,1.3e-133,2.5e-130,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_bifidum_rplB.domtblout
Bifidobacterium_boum_rplB,NZ_JGYQ01000016.1_307/1-274,NZ_JGYQ01000016.1_307,277,427.3,2.6e-129,8.6,274,427.1,1.6e-132,2.9e-129,8.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_boum_rplB.domtblout
Bifidobacterium_breve_rplB,NZ_CP010413.1_128/1-273,NZ_CP010413.1_128,277,425.8,8.9e-129,8.2,273,425.6,4.7e-132,9.8e-129,8.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_breve_rplB.domtblout
Bifidobacterium_catenulatum_rplB,NZ_AP012325.1_307/1-274,NZ_AP012325.1_307,277,429.7,4.7e-130,8.2,274,429.5,3e-133,5.2e-130,8.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_catenulatum_rplB.domtblout
Bifidobacterium_coryneforme_rplB,NZ_CP007287.1_1127/1-274,NZ_CP007287.1_1127,277,426.9,2.7e-129,8.4,274,426.7,2.2e-132,3e-129,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_coryneforme_rplB.domtblout
Bifidobacterium_dentium_rplB,NZ_ABIX02000002.1_290/1-274,NZ_ABIX02000002.1_290,277,428.4,1.4e-129,8.4,274,428.2,7.5e-133,1.6e-129,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_dentium_rplB.domtblout
Bifidobacterium_gallicum_rplB,NZ_JGYW01000002.1_231/1-274,NZ_JGYW01000002.1_231,277,426.9,3e-129,7.8,274,426.7,2.1e-132,3.3e-129,7.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_gallicum_rplB.domtblout
Bifidobacterium_longum_rplB,NC_015067.1_1697/1-273,NC_015067.1_1697,277,427.6,2.2e-129,8.6,273,427.5,1.3e-132,2.5e-129,8.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_longum_rplB.domtblout
Bifidobacterium_mongoliense_rplB,NZ_QRAJ01000003.1_164/1-274,NZ_QRAJ01000003.1_164,277,423.5,3.6e-128,7.3,274,423.4,2.3e-131,4e-128,7.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_mongoliense_rplB.domtblout
Bifidobacterium_pseudocatenulatum_rplB,NZ_CP079233.1_340/1-274,NZ_CP079233.1_340,277,428.7,9.9e-130,8.2,274,428.5,6.1e-133,1.1e-129,8.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_pseudocatenulatum_rplB.domtblout
Bifidobacterium_pseudolongum_rplB,NZ_CP022544.1_369/1-274,NZ_CP022544.1_369,277,427.6,1.9e-129,7.0,274,427.5,1.3e-132,2.1e-129,7.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_pseudolongum_rplB.domtblout
Bifidobacterium_ruminantium_rplB,NZ_JAHPZN010000002.1_229/1-274,NZ_JAHPZN010000002.1_229,277,428.8,9.1e-130,8.5,274,428.6,5.7e-133,1e-129,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_ruminantium_rplB.domtblout
Bifidobacterium_scardovii_rplB,NZ_AP012331.1_501/1-274,NZ_AP012331.1_501,277,429.1,1e-129,8.3,274,429.0,4.4e-133,1.1e-129,8.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_scardovii_rplB.domtblout
Bifidobacterium_stercoris_rplB,NZ_CP028341.1_338/1-274,NZ_CP028341.1_338,277,428.8,9.3e-130,8.5,274,428.6,5.7e-133,1e-129,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_stercoris_rplB.domtblout
Bifidobacterium_thermacidophilum_rplB,NZ_AUFI01000006.1_149/1-274,NZ_AUFI01000006.1_149,277,426.2,5.5e-129,8.9,274,426.0,3.5e-132,6.1e-129,8.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_thermacidophilum_rplB.domtblout
Bifidobacterium_thermophilum_rplB,NZ_PCGX01000010.1_312/1-274,NZ_PCGX01000010.1_312,277,426.2,5.6e-129,8.9,274,426.0,3.5e-132,6.2e-129,8.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bifidobacterium_thermophilum_rplB.domtblout
Bilophila_wadsworthia_rplB,NZ_KE150238.1_1160/1-275,NZ_KE150238.1_1160,277,469.8,6.1e-142,5.1,275,469.7,1.8e-145,6.7e-142,5.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bilophila_wadsworthia_rplB.domtblout
Blastococcus_massiliensis_rplB,NZ_CABKTE010000002.1_524/1-276,NZ_CABKTE010000002.1_524,278,443.9,4.6e-134,10.6,276,443.8,1.4e-137,5.1e-134,10.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blastococcus_massiliensis_rplB.domtblout
Blastomonas_natatoria_rplB,NZ_QJJM01000002.1_216/1-277,NZ_QJJM01000002.1_216,279,434.1,4.6e-131,11.8,277,434.0,1.3e-134,5.1e-131,11.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blastomonas_natatoria_rplB.domtblout
Blautia_coccoides_rplB,NZ_UFVT01000001.1_4046/1-278,NZ_UFVT01000001.1_4046,282,465.2,2.2e-140,8.5,278,465.1,4.5e-144,2.4e-140,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_coccoides_rplB.domtblout
Blautia_faecis_rplB,NZ_JAJCIA010000023.1_42/1-278,NZ_JAJCIA010000023.1_42,282,466.0,8.3e-141,7.4,278,465.9,2.5e-144,9.2e-141,7.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_faecis_rplB.domtblout
Blautia_glucerasea_rplB,NZ_JAAITU010000006.1_60/1-278,NZ_JAAITU010000006.1_60,282,462.0,1.4e-139,8.3,278,461.9,4.1e-143,1.5e-139,8.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_glucerasea_rplB.domtblout
Blautia-hansenii-DSM-20583-MAF-2_rplB,1_2479/1-278,1_2479,282,464.3,2.2e-140,8.4,278,464.2,8.2e-144,2.4e-140,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia-hansenii-DSM-20583-MAF-2_rplB.domtblout
Blautia-hydrogenotrophica-DSM-10507-MAF-2_rplB,1_2427/1-277,1_2427,282,466.8,4.5e-141,8.3,277,466.6,1.5e-144,4.9e-141,8.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia-hydrogenotrophica-DSM-10507-MAF-2_rplB.domtblout
Blautia_luti_rplB,NZ_JADPGV010000001.1_310/1-278,NZ_JADPGV010000001.1_310,282,460.9,2.9e-139,8.0,278,460.8,8.9e-143,3.2e-139,8.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_luti_rplB.domtblout
Blautia_massiliensis_rplB,NZ_JAAIUS010000004.1_183/1-278,NZ_JAAIUS010000004.1_183,282,464.7,1.7e-140,8.4,278,464.6,6.2e-144,1.9e-140,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_massiliensis_rplB.domtblout
Blautia-obeum-ATCC-29174-MAF-2_rplB,1_2493/1-278,1_2493,282,466.1,7.3e-141,8.7,278,466.0,2.4e-144,8e-141,8.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia-obeum-ATCC-29174-MAF-2_rplB.domtblout
Blautia_producta_rplB,NZ_CP035945.1_1917/1-278,NZ_CP035945.1_1917,282,465.2,2.3e-140,8.5,278,465.1,4.5e-144,2.5e-140,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_producta_rplB.domtblout
Blautia-sp-KLE-1732-MAF-2_rplB,1_2745/1-278,1_2745,282,464.7,1.9e-140,8.4,278,464.6,6.2e-144,2.1e-140,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia-sp-KLE-1732-MAF-2_rplB.domtblout
Blautia_stercoris_rplB,NZ_JACRTP010000003.1_199/1-278,NZ_JACRTP010000003.1_199,282,468.4,1.3e-141,9.6,278,468.3,4.7e-145,1.5e-141,9.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia_stercoris_rplB.domtblout
Blautia-wexlerae-DSM-19850-MAF-2_rplB,1_2951/1-278,1_2951,282,461.5,2.4e-139,8.0,278,461.3,6.1e-143,2.6e-139,8.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Blautia-wexlerae-DSM-19850-MAF-2_rplB.domtblout
Bordetella_hinzii_rplB,NZ_CP021395.1_1486/1-274,NZ_CP021395.1_1486,276,461.4,2.5e-139,12.2,274,461.3,6.3e-143,2.8e-139,12.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bordetella_hinzii_rplB.domtblout
Brachybacterium_ginsengisoli_rplB,NZ_CP023564.1_908/1-276,NZ_CP023564.1_908,279,449.9,6.5e-136,8.7,276,449.8,2.1e-139,7.2e-136,8.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brachybacterium_ginsengisoli_rplB.domtblout
Brachybacterium_paraconglomeratum_rplB,NZ_ML133854.1_85/1-276,NZ_ML133854.1_85,279,448.9,1.3e-135,8.9,276,448.7,4.3e-139,1.4e-135,8.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brachybacterium_paraconglomeratum_rplB.domtblout
Brachymonas_chironomi_rplB,NZ_KB894789.1_10/1-274,NZ_KB894789.1_10,276,436.0,7.5e-132,8.8,274,435.9,3.5e-135,8.3e-132,8.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brachymonas_chironomi_rplB.domtblout
Brachyspira_aalborgi_rplB,NZ_SAYK01000008.1_402/1-277,NZ_SAYK01000008.1_402,279,420.0,5.9e-127,7.0,277,419.8,2.7e-130,6.5e-127,7.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brachyspira_aalborgi_rplB.domtblout
Brachyspira_pilosicoli_rplB,NC_014330.1_992/1-277,NC_014330.1_992,279,426.0,8e-129,7.5,277,425.9,3.9e-132,8.9e-129,7.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brachyspira_pilosicoli_rplB.domtblout
Bradyrhizobium_denitrificans_rplB,NZ_JAFCLK010000002.1_232/1-276,NZ_JAFCLK010000002.1_232,278,453.2,1.5e-136,6.1,276,453.0,2.1e-140,1.6e-136,6.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bradyrhizobium_denitrificans_rplB.domtblout
Bradyrhizobium_elkanii_rplB,NZ_AP013103.1_4577/1-276,NZ_AP013103.1_4577,278,450.1,1.5e-135,5.4,276,449.9,1.8e-139,1.7e-135,5.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bradyrhizobium_elkanii_rplB.domtblout
Bradyrhizobium_icense_rplB,NZ_CP016428.1_3475/1-276,NZ_CP016428.1_3475,278,453.1,1.6e-136,6.7,276,452.9,2.3e-140,1.8e-136,6.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bradyrhizobium_icense_rplB.domtblout
Bradyrhizobium_japonicum_rplB,NZ_CP058354.1_5174/1-276,NZ_CP058354.1_5174,278,446.9,1.3e-134,7.0,276,446.7,1.7e-138,1.5e-134,7.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bradyrhizobium_japonicum_rplB.domtblout
Bradyrhizobium_neotropicale_rplB,NZ_LSEF01000121.1_41/1-276,NZ_LSEF01000121.1_41,278,447.4,9.1e-135,8.9,276,447.2,1.2e-138,1e-134,8.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bradyrhizobium_neotropicale_rplB.domtblout
Brevibacillus_agri_rplB,NZ_CP026363.1_282/1-275,NZ_CP026363.1_282,277,481.2,2.7e-145,6.5,275,481.1,1.2e-148,3e-145,6.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacillus_agri_rplB.domtblout
Brevibacillus_borstelensis_rplB,NZ_APBN01000017.1_38/1-275,NZ_APBN01000017.1_38,277,481.3,2.5e-145,7.4,275,481.2,5.5e-149,2.7e-145,7.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacillus_borstelensis_rplB.domtblout
Brevibacillus_brevis_rplB,NZ_LR134338.1_265/1-275,NZ_LR134338.1_265,277,481.3,3.3e-145,7.8,275,481.1,5.6e-149,3.6e-145,7.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacillus_brevis_rplB.domtblout
Brevibacillus_massiliensis_rplB,NZ_HE978551.1_39/1-275,NZ_HE978551.1_39,277,481.6,2.1e-145,6.0,275,481.4,4.6e-149,2.3e-145,6.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacillus_massiliensis_rplB.domtblout
Brevibacterium_casei_rplB,NZ_CP065682.1_1750/1-276,NZ_CP065682.1_1750,279,450.3,5e-136,11.1,276,450.2,1.6e-139,5.6e-136,11.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_casei_rplB.domtblout
Brevibacterium_epidermidis_rplB,NZ_BCSJ01000017.1_36/1-276,NZ_BCSJ01000017.1_36,279,447.5,3.3e-135,10.8,276,447.3,1.1e-138,3.7e-135,10.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_epidermidis_rplB.domtblout
Brevibacterium_halotolerans_rplB,NZ_CP029364.1_1819/1-277,NZ_CP029364.1_1819,278,486.0,7.8e-147,8.5,277,485.8,4.2e-150,8.7e-147,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_halotolerans_rplB.domtblout
Brevibacterium_halotolerans_rplB,NZ_CP029364.1_1665/80-130,NZ_CP029364.1_1665,168,13.0,0.01,0.0,51,12.8,5.8e-06,0.012,0.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_halotolerans_rplB.domtblout
Brevibacterium_iodinum_rplB,NZ_UFTQ01000001.1_545/1-276,NZ_UFTQ01000001.1_545,279,449.3,9.2e-136,10.9,276,449.2,3.1e-139,1e-135,10.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_iodinum_rplB.domtblout
Brevibacterium_linens_rplB,NZ_CP026734.1_1040/1-276,NZ_CP026734.1_1040,279,449.3,9.6e-136,10.9,276,449.2,3.1e-139,1.1e-135,10.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_linens_rplB.domtblout
Brevibacterium_massiliense_rplB,NZ_LQQC01000010.1_713/1-276,NZ_LQQC01000010.1_713,279,456.9,2.9e-138,9.1,276,456.7,1.6e-141,3.2e-138,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_massiliense_rplB.domtblout
Brevibacterium_ravenspurgense_rplB,NZ_LQQC01000010.1_713/1-276,NZ_LQQC01000010.1_713,279,456.9,2.9e-138,9.1,276,456.7,1.6e-141,3.2e-138,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_ravenspurgense_rplB.domtblout
Brevibacterium_sanguinis_rplB,NZ_QNRZ01000015.1_44/1-276,NZ_QNRZ01000015.1_44,279,449.6,7.9e-136,11.1,276,449.4,2.6e-139,8.8e-136,11.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_sanguinis_rplB.domtblout
Brevibacterium_senegalense_rplB,NZ_HE978605.1_84/1-276,NZ_HE978605.1_84,279,449.7,6.7e-136,9.8,276,449.5,2.4e-139,7.5e-136,9.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevibacterium_senegalense_rplB.domtblout
Brevundimonas_aurantiaca_rplB,NZ_JAJGNC010000002.1_310/1-276,NZ_JAJGNC010000002.1_310,279,445.0,1.8e-134,7.1,276,444.9,6.4e-138,2e-134,7.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevundimonas_aurantiaca_rplB.domtblout
Brevundimonas_bacteroides_rplB,NZ_JNIX01000015.1_47/1-275,NZ_JNIX01000015.1_47,278,440.7,3.7e-133,6.5,275,440.6,1.3e-136,4.1e-133,6.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevundimonas_bacteroides_rplB.domtblout
Brevundimonas_bullata_rplB,NZ_QLLC01000047.1_20/1-276,NZ_QLLC01000047.1_20,279,444.3,3e-134,7.4,276,444.2,1e-137,3.4e-134,7.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevundimonas_bullata_rplB.domtblout
Brevundimonas_diminuta_rplB,NZ_UIGE01000001.1_2079/1-276,NZ_UIGE01000001.1_2079,279,446.0,9.4e-135,6.7,276,445.9,3.1e-138,1e-134,6.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevundimonas_diminuta_rplB.domtblout
Brevundimonas_terrae_rplB,NZ_JAASQT010000003.1_339/1-276,NZ_JAASQT010000003.1_339,279,444.3,2.6e-134,7.2,276,444.2,1e-137,2.9e-134,7.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevundimonas_terrae_rplB.domtblout
Brevundimonas_vesicularis_rplB,NZ_CP022048.2_257/1-276,NZ_CP022048.2_257,279,444.4,3e-134,7.8,276,444.2,1e-137,3.3e-134,7.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brevundimonas_vesicularis_rplB.domtblout
Brochothrix_thermosphacta_rplB,NZ_CP016839.1_1233/1-276,NZ_CP016839.1_1233,278,468.6,9e-142,10.5,276,468.5,4.2e-145,1e-141,10.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Brochothrix_thermosphacta_rplB.domtblout
Bulleidia_extructa_rplB,NZ_ADFR01000002.1_181/1-276,NZ_ADFR01000002.1_181,278,453.4,2.3e-137,9.1,276,453.3,1.8e-140,2.5e-137,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Bulleidia_extructa_rplB.domtblout
Burkholderia_arboris_rplB,NZ_JAIZSP010000014.1_20/1-274,NZ_JAIZSP010000014.1_20,276,470.0,1e-141,10.0,274,469.9,1.5e-145,1.1e-141,10.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Burkholderia_arboris_rplB.domtblout
Burkholderia_cepacia_rplB,NZ_JAIZPY010000013.1_189/1-274,NZ_JAIZPY010000013.1_189,276,470.0,1e-141,10.0,274,469.9,1.5e-145,1.1e-141,10.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Burkholderia_cepacia_rplB.domtblout
Butyricicoccus_pullicaecorum_rplB,NZ_NFKK01000004.1_174/1-276,NZ_NFKK01000004.1_174,278,457.9,1.9e-138,7.0,276,457.8,7.6e-142,2.2e-138,7.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyricicoccus_pullicaecorum_rplB.domtblout
Butyricimonas_faecihominis_rplB,NZ_JACIES010000007.1_42/1-273,NZ_JACIES010000007.1_42,275,441.9,2e-133,5.9,273,441.8,5.6e-137,2.2e-133,5.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyricimonas_faecihominis_rplB.domtblout
Butyricimonas_paravirosa_rplB,NZ_BMPA01000005.1_216/1-273,NZ_BMPA01000005.1_216,275,442.1,2.1e-133,6.2,273,441.9,5.1e-137,2.3e-133,6.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyricimonas_paravirosa_rplB.domtblout
Butyricimonas_synergistica_rplB,NZ_KB903360.1_214/1-223,NZ_KB903360.1_214,225,374.4,7.5e-113,4.0,223,374.2,2.1e-116,8.3e-113,4.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyricimonas_synergistica_rplB.domtblout
Butyricimonas-virosa-DSM-23226-MAF-2_rplB,1_1635/1-273,1_1635,275,441.9,2e-133,5.9,273,441.8,5.6e-137,2.2e-133,5.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyricimonas-virosa-DSM-23226-MAF-2_rplB.domtblout
Butyrivibrio-crossotus-DSM-2876-MAF-2_rplB,1_2094/1-277,1_2094,281,461.0,1.8e-139,8.2,277,460.9,8.3e-143,2e-139,8.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyrivibrio-crossotus-DSM-2876-MAF-2_rplB.domtblout
Butyrivibrio_fibrisolvens_rplB,NZ_FQXK01000022.1_27/1-277,NZ_FQXK01000022.1_27,281,448.0,2.9e-135,6.5,277,447.8,8e-139,3.3e-135,6.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Butyrivibrio_fibrisolvens_rplB.domtblout
