"","strain","hit_score.atoA","hit_id.atoA","description.atoA","hit_score.atoD","hit_id.atoD","description.atoD","hit_score.bcd","hit_id.bcd","description.bcd","hit_score.kce","hit_id.kce","description.kce","hit_score.kal","hit_id.kal","description.kal","hit_score.kamA","hit_id.kamA","description.kamA","hit_score.kamD","hit_id.kamD","description.kamD","hit_score.kamE","hit_id.kamE","description.kamE","hit_score.kdd","hit_id.kdd","description.kdd","pathway","hit_score.thl","hit_id.thl","description.thl","hit_score.cro","hit_id.cro","description.cro","hit_score.hbd","hit_id.hbd","description.hbd","hit_score.ptb","hit_id.ptb","description.ptb","hit_score.buk","hit_id.buk","description.buk","hit_score.but","hit_id.but","description.but","hit_score.gcdA","hit_id.gcdA","description.gcdA","hit_score.gcdB","hit_id.gcdB","description.gcdB","hit_score.gctA","hit_id.gctA","description.gctA","hit_score.gctB","hit_id.gctB","description.gctB","hit_score.hgdA","hit_id.hgdA","description.hgdA","hit_score.hgdB","hit_id.hgdB","description.hgdB","hit_score.hgdC","hit_id.hgdC","description.hgdC","hit_score.abfD","hit_id.abfD","description.abfD","hit_score.abfT","hit_id.abfT","description.abfT","hit_score.abfH","hit_id.abfH","description.abfH"
"25","Porphyromonas_endodontalis",366.6,"NZ_UGTE01000001.1_178/1-219","Porphyromonas_endodontalis_atoA",347.5,"NZ_UGTE01000001.1_187/1-214","Porphyromonas_endodontalis_atoD",759.6,"NZ_UGTE01000001.1_177/1-379","Porphyromonas_endodontalis_bcd",430.8,"NZ_UGTE01000001.1_185/1-272","Porphyromonas_endodontalis_kce",228.7,"NZ_UGTE01000001.1_186/1-123","Porphyromonas_endodontalis_kal",699.2,"NZ_UGTE01000001.1_183/3-415","Porphyromonas_endodontalis_kamA",985.9,"NZ_UGTE01000001.1_180/3-517","Porphyromonas_endodontalis_kamD",481.2,"NZ_UGTE01000001.1_179/1-260","Porphyromonas_endodontalis_kamE",627.5,"NZ_UGTE01000001.1_184/2-347","Porphyromonas_endodontalis_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Porphyromonas_gingivalis",367.7,"NC_010729.1_1118/1-219","Porphyromonas_gingivalis_atoA",363.8,"NC_010729.1_1109/1-213","Porphyromonas_gingivalis_atoD",761.1,"NC_010729.1_1119/1-379","Porphyromonas_gingivalis_bcd",460,"NC_010729.1_1111/1-272","Porphyromonas_gingivalis_kce",238.1,"NC_010729.1_1110/3-128","Porphyromonas_gingivalis_kal",700.3,"NC_010729.1_1113/3-412","Porphyromonas_gingivalis_kamA",986.8,"NC_010729.1_1116/3-517","Porphyromonas_gingivalis_kamD",497.3,"NC_010729.1_1117/1-261","Porphyromonas_gingivalis_kamE",627.8,"NC_010729.1_1112/2-347","Porphyromonas_gingivalis_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Porphyromonas_somerae",365.3,"NZ_AP025559.1_1613/4-221","Porphyromonas_somerae_atoA",336.9,"NZ_AP025559.1_1622/1-214","Porphyromonas_somerae_atoD",764.8,"NZ_AP025559.1_1612/1-379","Porphyromonas_somerae_bcd",423.2,"NZ_AP025559.1_1620/1-272","Porphyromonas_somerae_kce",229.9,"NZ_AP025559.1_1621/7-131","Porphyromonas_somerae_kal",680.1,"NZ_AP025559.1_1618/4-413","Porphyromonas_somerae_kamA",987.2,"NZ_AP025559.1_1615/3-518","Porphyromonas_somerae_kamD",478.2,"NZ_AP025559.1_1614/1-260","Porphyromonas_somerae_kamE",610.7,"NZ_AP025559.1_1619/4-348","Porphyromonas_somerae_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Porphyromonas_uenonis",357.2,"NZ_KI535308.1_94/4-221","Porphyromonas_uenonis_atoA",350.3,"NZ_KI535308.1_85/1-213","Porphyromonas_uenonis_atoD",751.2,"NZ_KI535308.1_95/1-379","Porphyromonas_uenonis_bcd",426.6,"NZ_KI535308.1_87/1-272","Porphyromonas_uenonis_kce",233.2,"NZ_KI535308.1_86/5-129","Porphyromonas_uenonis_kal",701.4,"NZ_KI535308.1_89/3-414","Porphyromonas_uenonis_kamA",973.8,"NZ_KI535308.1_92/3-517","Porphyromonas_uenonis_kamD",485.7,"NZ_KI535308.1_93/1-260","Porphyromonas_uenonis_kamE",630.1,"NZ_KI535308.1_88/2-347","Porphyromonas_uenonis_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Romboutsia_lituseburensis",356.1,"NZ_FNGW01000001.1_129/3-212","Romboutsia_lituseburensis_atoA",352.7,"NZ_FNGW01000001.1_130/1-215","Romboutsia_lituseburensis_atoD",775.8,"NZ_FNGW01000003.1_235/3-373","Romboutsia_lituseburensis_bcd",447,"NZ_FNGW01000001.1_131/1-272","Romboutsia_lituseburensis_kce",232.8,"NZ_FNGW01000001.1_132/1-125","Romboutsia_lituseburensis_kal",698.9,"NZ_FNGW01000001.1_127/4-410","Romboutsia_lituseburensis_kamA",975.3,"NZ_FNGW01000001.1_124/1-517","Romboutsia_lituseburensis_kamD",458.7,"NZ_FNGW01000001.1_123/2-259","Romboutsia_lituseburensis_kamE",593.8,"NZ_FNGW01000001.1_128/2-343","Romboutsia_lituseburensis_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Tissierella_praeacuta",388.4,"NZ_UHHZ01000001.1_409/3-215","Tissierella_praeacuta_atoA",368.1,"NZ_UHHZ01000001.1_408/1-215","Tissierella_praeacuta_atoD",932.9,"NZ_UHHZ01000001.1_50/1-635","Tissierella_praeacuta_bcd",470.9,"NZ_UHHZ01000001.1_382/1-271","Tissierella_praeacuta_kce",228,"NZ_UHHZ01000001.1_381/1-127","Tissierella_praeacuta_kal",691.6,"NZ_UHHZ01000001.1_283/2-414","Tissierella_praeacuta_kamA",989.4,"NZ_UHHZ01000001.1_286/1-516","Tissierella_praeacuta_kamD",462.2,"NZ_UHHZ01000001.1_287/6-251","Tissierella_praeacuta_kamE",607.8,"NZ_UHHZ01000001.1_282/1-345","Tissierella_praeacuta_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Tumebacillus_permanentifrigoris",311.4,"NZ_QGGL01000015.1_134/4-212","Tumebacillus_permanentifrigoris_atoA",275.6,"NZ_QGGL01000015.1_133/8-218","Tumebacillus_permanentifrigoris_atoD",719.2,"NZ_QGGL01000001.1_202/1-380","Tumebacillus_permanentifrigoris_bcd",415.6,"NZ_QGGL01000001.1_172/1-270","Tumebacillus_permanentifrigoris_kce",211.5,"NZ_QGGL01000001.1_173/1-127","Tumebacillus_permanentifrigoris_kal",636,"NZ_QGGL01000001.1_218/18-433","Tumebacillus_permanentifrigoris_kamA",893.6,"NZ_QGGL01000001.1_215/4-516","Tumebacillus_permanentifrigoris_kamD",422.5,"NZ_QGGL01000001.1_214/10-257","Tumebacillus_permanentifrigoris_kamE",540.2,"NZ_QGGL01000001.1_219/1-344","Tumebacillus_permanentifrigoris_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Anaerobutyricum_hallii",NA,NA,NA,NA,NA,NA,763.2,"NZ_QSID01000006.1_105/1-377","Anaerobutyricum_hallii_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",698.4,"NZ_QSID01000014.1_1/1-392","Anaerobutyricum_hallii_thl",476.5,"NZ_QSID01000014.1_2/1-255","Anaerobutyricum_hallii_cro",440.9,"NZ_QSID01000014.1_3/1-279","Anaerobutyricum_hallii_hbd",NA,NA,NA,NA,NA,NA,818.7,"NZ_QSID01000014.1_10/1-446","Anaerobutyricum_hallii_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Anaerococcus_hydrogenalis",NA,NA,NA,NA,NA,NA,871.2,"NZ_PNHP01000001.1_81/1-636","Anaerococcus_hydrogenalis_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",695.6,"NZ_PNHP01000001.1_568/1-393","Anaerococcus_hydrogenalis_thl",480.2,"NZ_PNHP01000002.1_280/1-254","Anaerococcus_hydrogenalis_cro",453.5,"NZ_PNHP01000001.1_24/1-280","Anaerococcus_hydrogenalis_hbd",NA,NA,NA,NA,NA,NA,698.6,"NZ_PNHP01000001.1_23/1-445","Anaerococcus_hydrogenalis_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Anaerococcus_murdochii",NA,NA,NA,NA,NA,NA,877.1,"NZ_JAIPME010000002.1_545/1-634","Anaerococcus_murdochii_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",713,"NZ_JAIPME010000002.1_148/1-393","Anaerococcus_murdochii_thl",472.1,"NZ_JAIPME010000002.1_150/1-259","Anaerococcus_murdochii_cro",461.6,"NZ_JAIPME010000002.1_149/1-280","Anaerococcus_murdochii_hbd",NA,NA,NA,NA,NA,NA,678.4,"NZ_JAIPME010000002.1_147/1-448","Anaerococcus_murdochii_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Anaerococcus_obesiensis",NA,NA,NA,NA,NA,NA,870.1,"NZ_CP067016.1_1073/1-636","Anaerococcus_obesiensis_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",691.1,"NZ_CP067016.1_1789/1-393","Anaerococcus_obesiensis_thl",476,"NZ_CP067016.1_50/1-254","Anaerococcus_obesiensis_cro",448.3,"NZ_CP067016.1_1013/1-280","Anaerococcus_obesiensis_hbd",NA,NA,NA,NA,NA,NA,689.8,"NZ_CP067016.1_1012/1-445","Anaerococcus_obesiensis_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Anaerococcus_octavius",NA,NA,NA,NA,NA,NA,873.7,"NZ_UFTA01000002.1_23/1-634","Anaerococcus_octavius_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",691.9,"NZ_UFTA01000002.1_1084/1-394","Anaerococcus_octavius_thl",461.2,"NZ_UFTA01000002.1_1086/1-259","Anaerococcus_octavius_cro",450.5,"NZ_UFTA01000002.1_1085/1-280","Anaerococcus_octavius_hbd",NA,NA,NA,NA,NA,NA,663.3,"NZ_UFTA01000002.1_1083/1-446","Anaerococcus_octavius_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Anaerococcus_prevotii",NA,NA,NA,NA,NA,NA,878.8,"NZ_UFSY01000001.1_83/1-635","Anaerococcus_prevotii_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",712.7,"NZ_UFSY01000001.1_1449/1-393","Anaerococcus_prevotii_thl",468.6,"NZ_UFSY01000001.1_1451/1-259","Anaerococcus_prevotii_cro",455.4,"NZ_UFSY01000001.1_1450/1-280","Anaerococcus_prevotii_hbd",NA,NA,NA,NA,NA,NA,672.6,"NZ_UFSY01000001.1_1448/1-447","Anaerococcus_prevotii_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Anaerococcus_senegalensis",NA,NA,NA,NA,NA,NA,870.9,"NZ_HE578907.1_883/1-636","Anaerococcus_senegalensis_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",690.2,"NZ_HE578907.1_264/1-393","Anaerococcus_senegalensis_thl",481.7,"NZ_HE578907.1_35/1-254","Anaerococcus_senegalensis_cro",452.5,"NZ_HE578907.1_945/1-280","Anaerococcus_senegalensis_hbd",NA,NA,NA,NA,NA,NA,696.1,"NZ_HE578907.1_946/1-445","Anaerococcus_senegalensis_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Anaerococcus_vaginalis",NA,NA,NA,NA,NA,NA,870.1,"NZ_CP066014.1_446/1-636","Anaerococcus_vaginalis_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",694.3,"NZ_CP066014.1_1044/1-393","Anaerococcus_vaginalis_thl",476,"NZ_CP066014.1_1241/1-254","Anaerococcus_vaginalis_cro",451.5,"NZ_CP066014.1_391/1-280","Anaerococcus_vaginalis_hbd",NA,NA,NA,NA,NA,NA,685.5,"NZ_CP066014.1_390/1-445","Anaerococcus_vaginalis_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Anaerostipes_butyraticus",NA,NA,NA,NA,NA,NA,757.3,"NZ_BLYI01000006.1_40/1-383","Anaerostipes_butyraticus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",690.9,"NZ_BLYI01000006.1_37/1-395","Anaerostipes_butyraticus_thl",479.3,"NZ_BLYI01000006.1_38/1-257","Anaerostipes_butyraticus_cro",451,"NZ_BLYI01000006.1_39/1-279","Anaerostipes_butyraticus_hbd",NA,NA,NA,NA,NA,NA,803.7,"NZ_BLYI01000006.1_45/1-446","Anaerostipes_butyraticus_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Anaerostipes_coli",NA,NA,NA,NA,NA,NA,754.7,"NC_021016.1_1024/1-383","Anaerostipes_coli_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",702.6,"NC_021016.1_1021/1-393","Anaerostipes_coli_thl",484.6,"NC_021016.1_1567/1-256","Anaerostipes_coli_cro",451.7,"NC_021016.1_1023/1-279","Anaerostipes_coli_hbd",NA,NA,NA,NA,NA,NA,810.4,"NC_021016.1_1029/1-446","Anaerostipes_coli_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Anaerostipes_hadrus",NA,NA,NA,NA,NA,NA,754.7,"NC_021016.1_1024/1-383","Anaerostipes_hadrus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",702.6,"NC_021016.1_1021/1-393","Anaerostipes_hadrus_thl",484.6,"NC_021016.1_1567/1-256","Anaerostipes_hadrus_cro",451.7,"NC_021016.1_1023/1-279","Anaerostipes_hadrus_hbd",NA,NA,NA,NA,NA,NA,810.4,"NC_021016.1_1029/1-446","Anaerostipes_hadrus_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Anaerotruncus-colihominis-DSM-17241-MAF-2",NA,NA,NA,NA,NA,NA,915.9,"1_2854/1-635","Anaerotruncus-colihominis-DSM-17241-MAF-2_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",702.6,"1_2059/1-393","Anaerotruncus-colihominis-DSM-17241-MAF-2_thl",473.3,"1_2058/1-257","Anaerotruncus-colihominis-DSM-17241-MAF-2_cro",432.8,"1_2057/1-279","Anaerotruncus-colihominis-DSM-17241-MAF-2_hbd",346.5,"1_1955/1-298","Anaerotruncus-colihominis-DSM-17241-MAF-2_ptb",494.6,"1_709/7-358","Anaerotruncus-colihominis-DSM-17241-MAF-2_buk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Aneurinibacillus_aneurinilyticus",NA,NA,NA,NA,NA,NA,729.7,"NZ_JABAGO010000004.1_114/1-379","Aneurinibacillus_aneurinilyticus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",715.5,"NZ_JABAGO010000004.1_78/3-395","Aneurinibacillus_aneurinilyticus_thl",412.9,"NZ_JABAGO010000001.1_78/8-265","Aneurinibacillus_aneurinilyticus_cro",469.3,"NZ_JABAGO010000004.1_116/1-283","Aneurinibacillus_aneurinilyticus_hbd",NA,NA,NA,NA,NA,NA,366.7,"NZ_JABAGO010000016.1_62/8-427","Aneurinibacillus_aneurinilyticus_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Aneurinibacillus_migulanus",NA,NA,NA,NA,NA,NA,730.6,"NZ_LGUG01000004.1_109/1-379","Aneurinibacillus_migulanus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",722.4,"NZ_LGUG01000004.1_148/3-395","Aneurinibacillus_migulanus_thl",410.1,"NZ_LGUG01000004.1_4756/8-265","Aneurinibacillus_migulanus_cro",471.3,"NZ_LGUG01000004.1_107/1-283","Aneurinibacillus_migulanus_hbd",NA,NA,NA,NA,NA,NA,363.5,"NZ_LGUG01000004.1_2724/8-427","Aneurinibacillus_migulanus_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Bacillus_altitudinis",NA,NA,NA,NA,NA,NA,733.1,"NZ_CP009108.1_611/1-379","Bacillus_altitudinis_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",606.2,"NZ_CP009108.1_614/1-389","Bacillus_altitudinis_thl",423.7,"NZ_CP009108.1_3473/1-259","Bacillus_altitudinis_cro",448.4,"NZ_CP009108.1_613/3-286","Bacillus_altitudinis_hbd",436,"NZ_CP009108.1_3104/2-296","Bacillus_altitudinis_ptb",584,"NZ_CP009108.1_3102/5-358","Bacillus_altitudinis_buk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Bacillus_amyloliquefaciens",NA,NA,NA,NA,NA,NA,632.2,"NC_020272.1_1970/1-380","Bacillus_amyloliquefaciens_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",599.7,"NC_020272.1_1576/1-392","Bacillus_amyloliquefaciens_thl",401.8,"NC_020272.1_1205/2-258","Bacillus_amyloliquefaciens_cro",442.8,"NC_020272.1_1577/1-282","Bacillus_amyloliquefaciens_hbd",407.8,"NC_020272.1_1584/2-296","Bacillus_amyloliquefaciens_ptb",581.6,"NC_020272.1_1586/5-359","Bacillus_amyloliquefaciens_buk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Bacillus_arsenicus",NA,NA,NA,NA,NA,NA,755.8,"NZ_MQMF01000001.1_1229/1-379","Bacillus_arsenicus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",684.1,"NZ_MQMF01000003.1_33/4-398","Bacillus_arsenicus_thl",409.9,"NZ_MQMF01000002.1_1215/1-258","Bacillus_arsenicus_cro",480.1,"NZ_MQMF01000001.1_1231/1-282","Bacillus_arsenicus_hbd",420.6,"NZ_MQMF01000005.1_8/3-297","Bacillus_arsenicus_ptb",584,"NZ_MQMF01000005.1_6/5-358","Bacillus_arsenicus_buk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Bacillus_atrophaeus",NA,NA,NA,NA,NA,NA,734.8,"NZ_CP007640.1_3141/1-378","Bacillus_atrophaeus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",625.1,"NZ_CP007640.1_1934/1-391","Bacillus_atrophaeus_thl",407.7,"NZ_CP007640.1_2258/1-258","Bacillus_atrophaeus_cro",469.6,"NZ_CP007640.1_1933/1-283","Bacillus_atrophaeus_hbd",426.5,"NZ_CP007640.1_1926/2-300","Bacillus_atrophaeus_ptb",575.5,"NZ_CP007640.1_1924/5-358","Bacillus_atrophaeus_buk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Bacillus_badius",NA,NA,NA,NA,NA,NA,765.2,"NZ_CP082363.1_3713/1-378","Bacillus_badius_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",625.6,"NZ_CP082363.1_3716/1-391","Bacillus_badius_thl",413.8,"NZ_CP082363.1_2800/1-256","Bacillus_badius_cro",471.4,"NZ_CP082363.1_3715/1-283","Bacillus_badius_hbd",NA,NA,NA,NA,NA,NA,369.1,"NZ_CP082363.1_1693/2-424","Bacillus_badius_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Bacillus_beijingensis",NA,NA,NA,NA,NA,NA,747.2,"NZ_FNAR01000011.1_58/1-378","Bacillus_beijingensis_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_but",712,"NZ_FNAR01000004.1_133/1-393","Bacillus_beijingensis_thl",417.6,"NZ_FNAR01000009.1_56/1-257","Bacillus_beijingensis_cro",461.4,"NZ_FNAR01000011.1_56/1-283","Bacillus_beijingensis_hbd",NA,NA,NA,NA,NA,NA,354.1,"NZ_FNAR01000009.1_88/2-419","Bacillus_beijingensis_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Bacillus_benzoevorans",NA,NA,NA,NA,NA,NA,753.2,"NZ_JACHGK010000006.1_137/1-378","Bacillus_benzoevorans_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",679.3,"NZ_JACHGK010000006.1_75/3-395","Bacillus_benzoevorans_thl",423.6,"NZ_JACHGK010000001.1_204/1-258","Bacillus_benzoevorans_cro",475.2,"NZ_JACHGK010000006.1_135/1-283","Bacillus_benzoevorans_hbd",382.8,"NZ_JACHGK010000002.1_159/6-307","Bacillus_benzoevorans_ptb",531.9,"NZ_JACHGK010000003.1_301/5-358","Bacillus_benzoevorans_buk",376.7,"NZ_JACHGK010000005.1_130/5-428","Bacillus_benzoevorans_but",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Bacillus_cereus",NA,NA,NA,NA,NA,NA,759.5,"NZ_CP017060.1_5171/1-378","Bacillus_cereus_bcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acetylCoA_buk",653.3,"NZ_CP017060.1_5174/21-416","Bacillus_cereus_thl",418.2,"NZ_CP017060.1_4380/2-258","Bacillus_cereus_cro",476.3,"NZ_CP017060.1_5173/1-283","Bacillus_cereus_hbd",457.8,"NZ_CP017060.1_4038/2-298","Bacillus_cereus_ptb",595.1,"NZ_CP017060.1_4036/4-356","Bacillus_cereus_buk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
